key,zh-CN
TIP_HEADER,zh-CN
TIP_1,你知道吗...
TIP_2,"每个单位每回合只能攻击一次"
TIP_3,每种单位有弱点和优点 - 只有步兵才能占领建筑物，但几乎没有对抗坦克的胜算，而坦克则无法攻击直升机。
TIP_4,你可以在总部里部署士兵，但是在营房里这样做更便宜。
TIP_5,"当一个单位夺取一个塔时，它失去了本回合的所有剩余行动点数"
TIP_6,所有生产建筑都需要一个士兵来维护它 - 占领它们将花费你一个士兵单位
TIP_7,总部和占领的塔或机场每回合会产生现金
TIP_8,"现金可以用于部署单位和移动"
TIP_9,明智地使用你的现金 - 一个庞大的军队将比一个小分队更慢、更低效
TIP_10,单独派遣一个单位上战场永远不是一个好主意
TIP_11,"在班组中混合单元的类型会给你带来战略优势"
TIP_12,"阻塞出兵口将不能部署单位，敌人也不能 - 用你的单位封锁敌人的工厂"
TIP_13,"单位只能攻击相邻的格子 - 所以当你的目标很远时，你应该先让你的单位靠近"
LABEL_WORKSHOP,总部是游戏中最有价值的建筑物 - 如果你占领了敌方总部，你将赢得游戏
LABEL_MAIN_MENU,工坊
LABEL_START_TURN,主菜单
LABEL_CAMPAIGN,开始回合
LABEL_SKIRMISH,远征
LABEL_CONFIRM,战斗
LABEL_UNIT_ATTACK,确认
LABEL_UNIT_HEALTH,攻击
LABEL_UNIT_RANGE,健康值
LABEL_BUILDING_HQ,范围
LABEL_BUILDING_BARRACKS,总部
LABEL_BUILDING_FACTORY,兵营
LABEL_BUILDING_AIRPORT,工厂
LABEL_BUILDING_GSM_TOWER,机场
LABEL_REMOTE,通信塔
LABEL_LOCAL,远程
LABEL_OFF,本地
LABEL_ON,关
LABEL_GAME,开
LABEL_RESUME,游戏
LABEL_EASY,恢复
LABEL_NORMAL,简单
LABEL_MAPS_CREATED,普通
LABEL_COMPLETED,创建地图数
LABEL_NEXT,完成
LABEL_DELETE_MODE,下一个
LABEL_TURNS_CAP:,删除
LABEL_BACK,回合限制：
LABEL_SELECTED_MAP,后退
LABEL_TURNS_CAP,选定的地图：
LABEL_PLAY,回合限制:
LABEL_CPU,开始游戏
LABEL_HUMAN,CPU
LABEL_ATTACK,人类
LABEL_HEALTH_MAX,攻击
LABEL_HEALTH,健康值/最大值
LABEL_ACTION_SLOTS,健康值
LABEL_INFANTRY,行动时段
LABEL_UNIT_HELI,步兵
LABEL_RANGE,直升机
LABEL_DEPLOY_PRICE,范围
LABEL_DEPLOY,部署价格
LABEL_END,部署
LABEL_TURN,结束
LABEL_NEW_TURN,回合
LABEL_ACTION_POINTS,新的回合
LABEL_UNIT,行动点
LABEL_BUILDING,单位
LABEL_NEXT_TURN_GAIN,建筑物
LABEL_MAP_NAME,下一回合获得
